level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1280	800	-1	
2	1	1	0	0	0	0	0	1280	31	-1	
3	1	1	1	0	0	0	0	1280	31	-1	
4	1	1	1	1	0	0	0	1280	31	-1	
5	1	1	1	1	1	0	0	1280	31	95.000000	 
2	1	2	0	0	0	12	41	1250	16	-1	
3	1	2	1	0	0	12	41	1250	16	-1	
4	1	2	1	1	0	12	41	1250	16	-1	
5	1	2	1	1	1	12	41	16	16	43.364140	©
5	1	2	1	1	2	55	41	9	16	59.907436	W
5	1	2	1	1	3	73	41	183	16	64.131325	marketplace-bulk-editor
5	1	2	1	1	4	250	35	10	28	58.950584	x
5	1	2	1	1	5	284	44	12	12	51.313316	+.
5	1	2	1	1	6	1100	46	12	6	67.009933	v
5	1	2	1	1	7	1180	51	8	2	52.189808	5
5	1	2	1	1	8	1218	46	6	6	63.405758	©
5	1	2	1	1	9	1254	45	8	8	85.169495	&
2	1	3	0	0	0	17	80	494	27	-1	
3	1	3	1	0	0	17	80	494	27	-1	
4	1	3	1	1	0	17	80	494	27	-1	
5	1	3	1	1	1	17	85	14	12	78.557541	€
5	1	3	1	1	2	85	80	21	27	51.474693	ie]
5	1	3	1	1	3	222	83	14	16	75.037964	O
5	1	3	1	1	4	251	84	12	14	79.050659	D
5	1	3	1	1	5	279	85	232	14	48.760742	http://localhost:5173/#debug-logs
2	1	4	0	0	0	78	134	1159	22	-1	
3	1	4	1	0	0	78	134	1159	22	-1	
4	1	4	1	1	0	78	134	1159	22	-1	
5	1	4	1	1	1	78	136	106	20	96.779228	Marketplace
5	1	4	1	1	2	190	136	38	15	96.953636	Bulk
5	1	4	1	1	3	233	136	52	15	96.709099	Editor
5	1	4	1	1	4	319	137	53	11	96.349869	Platform:
5	1	4	1	1	5	400	136	12	15	53.390938	J
5	1	4	1	1	6	419	137	58	11	93.639130	Facebook
5	1	4	1	1	7	482	137	75	15	66.064972	Marketplace
5	1	4	1	1	8	575	141	8	5	68.871719	v
5	1	4	1	1	9	619	134	18	18	69.165649	@
5	1	4	1	1	10	640	130	49	26	95.045502	Docker
5	1	4	1	1	11	695	137	50	11	85.984207	Backend
5	1	4	1	1	12	749	137	66	11	85.984207	Connected
5	1	4	1	1	13	827	140	10	6	47.851757	v
5	1	4	1	1	14	1098	138	72	9	95.903191	NAVIGATION
5	1	4	1	1	15	1174	138	63	9	96.850403	CONTROLS
2	1	5	0	0	0	28	121	44	44	-1	
3	1	5	1	0	0	28	121	44	44	-1	
4	1	5	1	1	0	28	121	44	44	-1	
5	1	5	1	1	1	28	121	44	44	95.000000	 
2	1	6	0	0	0	1109	175	136	14	-1	
3	1	6	1	0	0	1109	175	136	14	-1	
4	1	6	1	1	0	1109	175	136	14	-1	
5	1	6	1	1	1	1109	175	33	14	96.838608	Jump
5	1	6	1	1	2	1147	176	11	9	96.973213	to
5	1	6	1	1	3	1163	175	29	10	96.881302	Main
5	1	6	1	1	4	1221	176	24	9	95.148239	Content
2	1	7	0	0	0	844	192	28	15	-1	
3	1	7	1	0	0	844	192	28	15	-1	
4	1	7	1	1	0	844	192	28	15	-1	
5	1	7	1	1	1	844	192	28	15	95.000000	 
2	1	8	0	0	0	368	195	472	16	-1	
3	1	8	1	0	0	368	195	472	16	-1	
4	1	8	1	1	0	368	195	472	16	-1	
5	1	8	1	1	1	368	195	14	14	83.934341	&
5	1	8	1	1	2	392	197	41	14	94.753845	Import
5	1	8	1	1	3	438	197	30	10	95.271111	More
5	1	8	1	1	4	512	195	14	14	42.263733	®
5	1	8	1	1	5	529	190	44	26	10.743820	Load1
5	1	8	1	1	6	578	190	45	26	10.743820	Sample
5	1	8	1	1	7	681	190	37	26	88.653961	Clear
5	1	8	1	1	8	722	190	16	26	88.653961	All
5	1	8	1	1	9	776	196	14	13	71.316223	&
5	1	8	1	1	10	801	197	39	14	95.707115	Export
2	1	9	0	0	0	1118	218	118	15	-1	
3	1	9	1	0	0	1118	218	118	15	-1	
4	1	9	1	1	0	1118	218	118	15	-1	
